EST_DATE,Total_ASSETS,IDRSSD,Financial Institution Name,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Tract_Code,Tract Income Level,Underserved or Distressed Tract,2017 FFIEC Estimated MSA/MD/non-MSA/MD Median Family Income,2017 Estimated Tract Median Family Income,2010 Tract Median Family Income,Tract Median Family Income %,Tract Population,Tract Minority %,Tract Minority Population,Owner-Occupied Units,1 to 4 Family Units,Tract Income Level,2010 MSA/MD/statewide non-MSA/MD Median Family Income,2017 FFIEC Estimated MSA/MD/non-MSA/MD Median Family Income,% below Poverty Line,Tract Median Family Income %,2010 Tract Median Family Income,2017 Estimated Tract Median Family Income,2010 Tract Median Household Income,Tract Population,Tract Minority %,Number of Families,Number of Households,Non-Hispanic White Population,Tract Minority Population,American Indian Population,Asian/Hawaiian/Pacific Islander Population,Black Population,Hispanic Population,Other/Two or More Races Population
20000128,35577,2877484,ALAMERICA BANK,2170 HIGHLAND AVENUE SOUTH,BIRMINGHAM,AL,35205,0049.01,Middle,No,$61400,$55573,$56302,90.51,1168,25.09,293,156,215,Middle,$62204,$61400,22.09,90.51,$56302,$55573,$32991,1168,25.09,129,885,875,293,0,95,142,45,11
19760219,52552,578237,COMMONWEALTH NATIONAL BANK,2214 SAINT STEPHENS ROAD,MOBILE,AL,36617,0006.00,Low,No,$55100,$19616,$19303,35.60,2230,95.16,2122,368,1063,Low,$54215,$55100,48.53,35.60,$19303,$19616,$16536,2230,95.16,545,864,108,2122,0,0,2107,15,0
19731012,1996652,725732,BAC FLORIDA BANK,169 MIRACLE MILE SUITE R10,CORAL GABLES,FL,33134,0062.06,Upper,No,$51800,$73406,$69816,141.71,2909,67.41,1961,591,589,Upper,$49264,$51800,19.04,141.71,$69816,$73406,$47287,2909,67.41,713,1625,948,1961,0,40,37,1850,34
20060110,982668,3402913,BANESCO USA,150 ALHAMBRA CIRCLE SUITE 100,CORAL GABLES,FL,33134,0062.06,Upper,No,$51800,$73406,$69816,141.71,2909,67.41,1961,591,589,Upper,$49264,$51800,19.04,141.71,$69816,$73406,$47287,2909,67.41,713,1625,948,1961,0,40,37,1850,34
20070226,127495,3468450,CENTRAL BANK,20701 BRUCE B DOWNS BOULEVARD,TAMPA,FL,33647,0102.05,Upper,No,$59800,$88659,$87349,148.26,9008,51.64,4652,2295,2976,Upper,$58916,$59800,5.10,148.26,$87349,$88659,$85462,9008,51.64,2383,3000,4356,4652,0,1245,1145,1639,623
19740510,491755,837037,CONTINENTAL NATIONAL BANK,1801 S.W. 1ST STREET,MIAMI,FL,33135,0054.09,Moderate,No,$51800,$28879,$27465,55.75,3699,98.38,3639,32,308,Moderate,$49264,$51800,36.25,55.75,$27465,$28879,$20775,3699,98.38,746,1441,60,3639,0,0,67,3572,0
19720607,392799,1002430,EXECUTIVE NATIONAL BANK,9600 NORTH KENDALL DRIVE,MIAMI,FL,33176,0084.05,Upper,No,$51800,$121103,$115179,233.79,6081,62.87,3823,1508,1713,Upper,$49264,$51800,9.46,233.79,$115179,$121103,$91554,6081,62.87,1399,1956,2258,3823,0,212,296,3315,0
19760823,202367,221775,"INTERAMERICAN BANK, A FEDERAL SAVINGS BANK",9190 CORAL WAY,MIAMI,FL,33165,0088.05,Moderate,No,$51800,$30484,$28995,58.85,5603,96.04,5381,498,1421,Moderate,$49264,$51800,27.79,58.85,$28995,$30484,$30276,5603,96.04,1172,1569,222,5381,0,5,14,5362,0
20020621,154897,3122828,INTERCONTINENTAL BANK,5722 SOUTHWEST 8TH STREET,WEST MIAMI,FL,33144,0059.01,Middle,No,$51800,$50795,$48313,98.06,4341,92.01,3994,733,1286,Middle,$49264,$51800,17.85,98.06,$48313,$50795,$40720,4341,92.01,997,1441,347,3994,0,8,0,3929,57
19831130,406111,867632,INTERNATIONAL FINANCE BANK,777 SOUTHWEST 37TH AVENUE SUITE 700,MIAMI,FL,33135,0055.02,Moderate,No,$51800,$28863,$27454,55.72,6960,98.76,6874,747,1836,Moderate,$49264,$51800,36.31,55.72,$27454,$28863,$24283,6960,98.76,1559,2346,86,6874,0,63,17,6793,1
19821209,3566673,663834,OCEAN BANK,780 NORTHWEST 42ND AVENUE,MIAMI,FL,33126,0049.01,Low,No,$51800,$24424,$23231,47.15,3562,96.97,3454,34,86,Low,$49264,$51800,34.96,47.15,$23231,$24424,$23945,3562,96.97,865,1307,108,3454,0,45,83,3326,0
20010914,82367,3049729,PLUS INTERNATIONAL BANK,"1000 BRICKELL AVENUE, SUITE 1100",MIAMI,FL,33131,0067.02,Upper,No,$51800,$85475,$81295,165.01,9011,54.05,4870,1356,1487,Upper,$49264,$51800,11.94,165.01,$81295,$85475,$60088,9011,54.05,1405,4534,4141,4870,0,272,185,4272,141
19990315,190774,2791085,SUNSTATE BANK,14095 SOUTH DIXIE HIGHWAY,MIAMI,FL,33176,0082.06,Upper,No,$51800,$124859,$118750,241.04,4239,52.21,2213,1109,1308,Upper,$49264,$51800,5.38,241.04,$118750,$124859,$109554,4239,52.21,1099,1345,2026,2213,0,319,226,1583,85
19740305,2968478,790534,TOTALBANK,100 SOUTHEAST 2ND STREET 32ND FLOOR,MIAMI,FL,33131,0037.04,Middle,No,$51800,$59798,$56875,115.44,1312,61.59,808,168,68,Middle,$49264,$51800,19.13,115.44,$56875,$59798,$36284,1312,61.59,213,856,504,808,0,50,238,520,0
20021028,973876,3146150,U.S. CENTURY BANK,2301 NW 87TH AVENUE,MIAMI,FL,33172,0090.10,Upper,No,$51800,$86812,$82564,167.59,5221,79.20,4135,1039,1643,Upper,$49264,$51800,5.65,167.59,$82564,$86812,$84852,5221,79.20,1239,1515,1086,4135,0,0,17,4076,42
19270101,39942,370833,CARVER STATE BANK,701 M L KING BLVD,SAVANNAH,GA,31401,0012.00,Low,No,$64900,$13694,$13036,21.10,1962,99.44,1951,63,707,Low,$61754,$64900,62.23,21.10,$13036,$13694,$11993,1962,99.44,515,687,11,1951,0,0,1936,15,0
19210618,401893,680130,CITIZENS TRUST BANK,3705 CASCADE ROAD,ATLANTA,GA,30331,0079.00,Middle,No,$69200,$68875,$67008,99.53,5801,98.64,5722,1538,2231,Middle,$67322,$69200,10.90,99.53,$67008,$68875,$52181,5801,98.64,1393,2092,79,5722,0,138,5502,0,82
20070305,114017,3482045,EMBASSY NATIONAL BANK,1817 NORTH BROWN ROAD,LAWRENCEVILLE,GA,30043,0505.11,Moderate,No,$69200,$50613,$49241,73.14,11191,77.15,8634,2158,3031,Moderate,$67322,$69200,15.62,73.14,$49241,$50613,$49378,11191,77.15,2715,3471,2557,8634,52,1800,2782,3870,130
20000131,353786,2877840,FIRST IC BANK,5593 BUFORD HIGHWAY,ATLANTA,GA,30340,0213.03,Moderate,No,$69200,$35790,$34825,51.72,6496,87.48,5683,726,1152,Moderate,$67322,$69200,29.58,51.72,$34825,$35790,$35417,6496,87.48,1362,1770,813,5683,24,983,657,3759,260
20060404,1077836,3437456,METRO CITY BANK,5441 BUFORD HIGHWAY SUITE 109,DORAVILLE,GA,30340,0213.01,Moderate,No,$69200,$52606,$51179,76.02,4005,75.28,3015,318,762,Moderate,$67322,$69200,18.52,76.02,$51179,$52606,$45000,4005,75.28,629,1540,990,3015,21,367,1217,1258,152
20081106,291699,3832127,NOA BANK,2385 PLEASANT HILL ROAD,DULUTH,GA,30096,0502.09,Middle,No,$69200,$55664,$54158,80.44,10029,70.27,7047,1552,2371,Middle,$67322,$69200,12.01,80.44,$54158,$55664,$52694,10029,70.27,2359,3325,2982,7047,0,2990,2014,1606,437
19951227,410633,2354387,QUANTUM NATIONAL BANK,505 PEACHTREE INDUSTRIAL BOULEVARD,SUWANEE,GA,30024,0502.12,Upper,No,$69200,$119910,$116661,173.28,12733,28.00,3565,3566,3755,Upper,$67322,$69200,2.28,173.28,$116661,$119910,$110214,12733,28.00,3371,3770,9168,3565,55,1641,941,593,335
20071105,75021,3650442,STATE BANK OF GEORGIA,131 GINGERCAKE ROAD,FAYETTEVILLE,GA,30214,1404.04,Upper,No,$69200,$91040,$88571,131.56,5767,31.84,1836,1647,1978,Upper,$67322,$69200,8.17,131.56,$88571,$91040,$73622,5767,31.84,1532,2079,3931,1836,0,205,1345,274,12
20080128,300587,3645840,TOUCHMARK NATIONAL BANK,3651 OLD MILTON PARKWAY,ALPHARETTA,GA,30005,0116.19,Upper,No,$69200,$101447,$98698,146.60,8394,62.37,5235,1019,1267,Upper,$67322,$69200,3.57,146.60,$98698,$101447,$75823,8394,62.37,2197,3009,3159,5235,35,2972,831,946,451
19711222,333706,651121,LUMBEE GUARANTY BANK,403 EAST THIRD STREET,PEMBROKE,NC,28372,9605.02,Low,No,$48700,$20376,$20000,41.84,4918,79.89,3929,404,1162,Low,$47794,$48700,58.79,41.84,$20000,$20376,$16064,4918,79.89,712,1439,989,3929,2108,60,1375,113,273
19080301,267730,332224,MECHANICS & FARMERS BANK,116 WEST PARRISH STREET,DURHAM,NC,27701,0022.00,Upper,No,$71200,$102791,$100833,144.37,1758,34.58,608,235,375,Upper,$69840,$71200,25.82,144.37,$100833,$102791,$62917,1758,34.58,308,858,1150,608,6,66,461,13,62
19990326,52853,2794732,SOUTH CAROLINA COMMUNITY BANK,1545 SUMTER STREET,COLUMBIA,SC,292012829,0031.00,Low,No,$64800,$24967,$24150,38.53,862,49.07,423,16,131,Low,$62665,$64800,50.43,38.53,$24150,$24967,$27206,862,49.07,77,428,439,423,13,39,350,3,18
19190908,29204,722227,FIRST STATE BANK,201 NORTH UNION STREET,DANVILLE,VA,24541,0005.00,Moderate,No,$53300,$30205,$29118,56.67,1792,78.85,1413,219,571,Moderate,$51375,$53300,39.95,56.67,$29118,$30205,$14801,1792,78.85,280,907,379,1413,0,31,1330,4,48
19970129,65712,2533043,AMERICAN METRO BANK,4878 NORTH BROADWAY,CHICAGO,IL,60640,0311.00,Upper,No,$77500,$94721,$92097,122.22,4510,36.25,1635,697,857,Upper,$75350,$77500,8.64,122.22,$92097,$94721,$57994,4510,36.25,885,2395,2875,1635,10,339,189,1013,84
19340101,109245,250476,ILLINOIS-SERVICE FEDERAL SAVINGS AND LOAN ASSOCIATION,4619 SOUTH MARTIN LUTHER KING DRIVE,CHICAGO,IL,60653,3812.00,Middle,No,$77500,$75291,$73208,97.15,2010,98.11,1972,288,457,Middle,$75350,$77500,17.86,97.15,$73208,$75291,$40652,2010,98.11,377,1026,38,1972,37,0,1804,22,109
19921026,515934,2006024,INTERNATIONAL BANK OF CHICAGO,5069 NORTH BROADWAY STREET,CHICAGO,IL,60640,0312.00,Moderate,No,$77500,$61062,$59375,78.79,5063,54.61,2765,627,369,Moderate,$75350,$77500,34.90,78.79,$59375,$61062,$20887,5063,54.61,855,2619,2298,2765,28,606,1495,495,141
20070702,77830,3547896,MILLENNIUM BANK,2077 MINER STREET,DES PLAINES,IL,60016,8059.01,Upper,No,$77500,$94364,$91750,121.76,4133,19.31,798,1300,922,Upper,$75350,$77500,5.87,121.76,$91750,$94364,$73309,4133,19.31,1108,1740,3335,798,0,362,17,364,55
19951109,188076,2360904,PACIFIC GLOBAL BANK,2323 SOUTH WENTWORTH AVENUE,CHICAGO,IL,60616,8411.00,Low,No,$77500,$27923,$27153,36.03,7673,96.99,7442,1110,1442,Low,$75350,$77500,36.97,36.03,$27153,$27923,$25098,7673,96.99,2026,2699,231,7442,0,6762,345,70,265
20100819,526232,4184186,URBAN PARTNERSHIP BANK,7936 SOUTH COTTAGE GROVE AVENUE,CHICAGO,IL,60619,4402.01,Moderate,No,$77500,$42765,$41579,55.18,5278,98.31,5189,335,1597,Moderate,$75350,$77500,31.45,55.18,$41579,$42765,$36394,5278,98.31,1126,2347,89,5189,0,0,5062,71,56
19970106,30113,2496081,METRO BANK,900 SOUTH 12TH STREET,LOUISVILLE,KY,40210,0027.00,Low,No,$65600,$22921,$22639,34.94,2749,85.59,2353,184,1242,Low,$64777,$65600,56.57,34.94,$22639,$22921,$12477,2749,85.59,483,1094,396,2353,0,10,2192,7,144
19700514,240030,254849,FIRST INDEPENDENCE BANK,44 MICHIGAN AVENUE,DETROIT,MI,48226,5207.00,Middle,No,$53500,$52125,$51382,97.43,2381,66.86,1592,57,48,Middle,$52733,$53500,38.98,97.43,$51382,$52125,$19763,2381,66.86,209,1807,789,1592,9,99,1411,73,0
19950821,87525,2329200,BAY BANK,2555 PACKERLAND DRIVE,GREEN BAY,WI,54313,0213.02,Middle,No,$68800,$76451,$75197,111.12,5972,6.85,409,1901,2482,Middle,$67666,$68800,8.09,111.12,$75197,$76451,$61390,5972,6.85,1805,2419,5563,409,90,157,28,20,114
19240101,24217,596277,COLUMBIA SAVINGS AND LOAN ASSOCIATION,2020 WEST FOND DU LAC AVENUE,MILWAUKEE,WI,532050000,1854.00,Low,No,$72400,$30756,$30488,42.48,1773,98.93,1754,178,582,Low,$71764,$72400,47.09,42.48,$30488,$30756,$30305,1773,98.93,386,530,19,1754,10,0,1461,5,278
19870727,95249,664653,NATIVE AMERICAN BANK---NATIONAL ASSOCIATION,999 18TH STREET SUITE 2460,DENVER,CO,80202,0017.02,Upper,No,$83900,$172884,$166538,206.06,4049,25.29,1024,847,65,Upper,$80820,$83900,21.05,206.06,$166538,$172884,$58242,4049,25.29,396,2495,3025,1024,19,112,300,406,187
19721116,637094,283438,LIBERTY BANK AND TRUST COMPANY,6600 PLAZA DRIVE SUITE 600,NEW ORLEANS,LA,70127,0017.36,Moderate,No,$63300,$37410,$36125,59.10,2237,99.78,2232,193,381,Moderate,$61124,$63300,34.33,59.10,$36125,$37410,$26481,2237,99.78,450,848,5,2232,0,15,2138,73,6
19690301,224684,800853,CENTINEL BANK OF TAOS,512 PASEO DEL PUEBLO SUR,TAOS,NM,87571,9526.00,Middle,Yes,$52300,$52609,$49648,100.59,8575,68.89,5907,2289,3789,Middle,$49356,$52300,22.97,100.59,$49648,$52609,$40618,8575,68.89,1867,3214,2668,5907,256,67,67,5446,71
19920701,165154,1972298,MY BANK,19339 HIGHWAY 314,BELEN,NM,87002,9708.00,Moderate,No,$61900,$36236,$35146,58.54,4854,73.75,3580,1129,1987,Moderate,$60032,$61900,33.42,58.54,$35146,$36236,$32327,4854,73.75,1239,1826,1274,3580,191,12,43,3210,124
19010101,49640,146056,ALLNATIONS BANK,114 EAST MAIN,CALUMET,OK,73014,3002.02,Middle,No,$66600,$67179,$64621,100.87,4596,19.41,892,1225,1677,Middle,$64058,$66600,11.60,100.87,$64621,$67179,$55721,4596,19.41,1124,1553,3704,892,253,2,102,299,236
19030101,135523,64552,BANK2,909 SOUTH  MERIDIAN AVENUE,OKLAHOMA CITY,OK,73108,1086.01,Middle,No,$66600,$68718,$66100,103.18,2317,40.91,948,647,911,Middle,$64058,$66600,5.40,103.18,$66100,$68718,$65338,2317,40.91,602,870,1369,948,98,169,166,456,59
19081201,105033,815754,BANK OF CHEROKEE COUNTY,110 E. MAIN,HULBERT,OK,74441,9777.00,Middle,Yes,$52800,$56448,$55274,106.91,6719,49.14,3302,1892,2685,Middle,$51698,$52800,13.20,106.91,$55274,$56448,$48000,6719,49.14,1742,2262,3417,3302,2279,57,73,223,670
19310101,84424,322850,BANK OF COMMERCE,24 WEST DIVISION,STILWELL,OK,74960,3769.00,Moderate,No,$52800,$37118,$36346,70.30,4570,69.19,3162,826,1926,Moderate,$51698,$52800,31.09,70.30,$36346,$37118,$25168,4570,69.19,1140,1715,1408,3162,1969,49,2,601,541
20050609,150200,3286999,BANK OF GROVE,201 EAST 18TH STREET,GROVE,OK,74344,3757.00,Middle,Yes,$52800,$55224,$54071,104.59,7584,18.97,1439,2410,4091,Middle,$51698,$52800,16.52,104.59,$54071,$55224,$40763,7584,18.97,2137,3470,6145,1439,560,138,1,215,525
19020101,424289,163857,F&M BANK,17100 NORTH MAY AVENUE,EDMOND,OK,73012,1082.18,Upper,No,$66600,$104788,$100789,157.34,8787,27.50,2416,2811,3174,Upper,$64058,$66600,0.47,157.34,$100789,$104788,$99821,8787,27.50,2364,3110,6371,2416,224,522,628,424,618
19841029,252472,396253,FIRST NATIONAL BANK AND TRUST COMPANY,130 EAST MACARTHUR,SHAWNEE,OK,74804,5007.00,Middle,No,$52800,$57795,$56591,109.46,3209,32.16,1032,664,1283,Middle,$51698,$52800,12.57,109.46,$56591,$57795,$48869,3209,32.16,738,1248,2177,1032,521,3,145,191,172
19010101,315497,296456,FIRSTBANK,100 NORTH HIGH STREET,ANTLERS,OK,74523,0977.00,Moderate,No,$52800,$41960,$41087,79.47,5909,25.77,1523,1779,3077,Moderate,$51698,$52800,29.85,79.47,$41087,$41960,$31494,5909,25.77,1470,2420,4386,1523,552,43,87,197,644
19730521,62569,186856,FORT GIBSON STATE BANK,200 SOUTH LEE STREET,FORT GIBSON,OK,74434,0014.00,Upper,No,$52800,$63397,$62077,120.07,6932,37.28,2584,2144,2957,Upper,$51698,$52800,15.41,120.07,$62077,$63397,$53600,6932,37.28,2048,2730,4348,2584,1165,7,131,400,881
19380713,142539,285759,OKLAHOMA STATE BANK,120 WEST CANADIAN,VINITA,OK,74301,3734.00,Middle,No,$52800,$47900,$46902,90.72,2803,33.21,931,783,1243,Middle,$51698,$52800,20.43,90.72,$46902,$47900,$35489,2803,33.21,709,1073,1872,931,462,20,97,86,266
19030203,46573,539452,PEOPLES BANK,WILLIAM AND DIVISON STREET,WESTVILLE,OK,74965,3767.00,Moderate,Yes,$52800,$40191,$39353,76.12,5420,50.07,2714,1326,2185,Moderate,$51698,$52800,25.73,76.12,$39353,$40191,$35625,5420,50.07,1503,1918,2706,2714,1346,32,33,247,1056
19040104,104492,55635,CITIZENS SAVINGS BANK AND TRUST COMPANY,2013 JEFFERSON STREET,NASHVILLE,TN,37208,0142.00,Low,No,$67500,$19440,$19130,28.80,2336,81.98,1915,84,509,Low,$66404,$67500,46.70,28.80,$19130,$19440,$17055,2336,81.98,348,857,421,1915,8,22,1837,31,17
19461216,93949,515054,TRI-STATE BANK OF MEMPHIS,180 SOUTH MAIN STREET,MEMPHIS,TN,38103,0042.00,Upper,No,$59100,$96315,$94830,162.97,2611,35.70,932,448,195,Upper,$58186,$59100,11.07,162.97,$94830,$96315,$58958,2611,35.70,359,1918,1679,932,6,123,591,145,67
19980518,1387258,2694681,AMERICAN FIRST NATIONAL BANK,9999 BELLAIRE,HOUSTON,TX,77036,4331.00,Low,No,$72500,$24447,$23393,33.72,3791,98.02,3716,82,62,Low,$69373,$72500,47.45,33.72,$23393,$24447,$24368,3791,98.02,832,1131,75,3716,0,106,956,2654,0
19860708,129823,49858,BANK OF SOUTH TEXAS,1421 EAST NOLANA AVENUE,MCALLEN,TX,78504,0209.01,Upper,No,$40300,$91904,$85588,228.05,4863,78.24,3805,1132,1551,Upper,$37529,$40300,14.08,228.05,$85588,$91904,$65956,4863,78.24,1294,1967,1058,3805,0,326,46,3419,14
19780515,83158,804860,CITIZENS STATE BANK,1709 GRANT STREET,ROMA,TX,78584,9507.01,Low,No,$54200,$22130,$21264,40.83,3836,100.00,3836,720,1491,Low,$52076,$54200,38.22,40.83,$21264,$22130,$17484,3836,100.00,967,1223,0,3836,0,0,0,3836,0
19820331,585876,625159,COMMERCE BANK,5800 SAN DARIO,LAREDO,TX,78041,0017.18,Upper,No,$42800,$66905,$65536,156.32,2128,91.59,1949,489,601,Upper,$41922,$42800,11.28,156.32,$65536,$66905,$59712,2128,91.59,574,742,179,1949,0,0,0,1949,0
19861210,1135603,564557,FALCON INTERNATIONAL BANK,7718 MCPHERSON ROAD BUILDING F,LAREDO,TX,780452805,0017.21,Upper,No,$42800,$89392,$87560,208.86,2847,89.99,2562,617,772,Upper,$41922,$42800,18.62,208.86,$87560,$89392,$81033,2847,89.99,715,773,285,2562,0,4,0,2558,0
19601008,112134,524766,FIRST STATE BANK,1 COMMERCE PARK,SHALLOWATER,TX,79363,0103.02,Upper,No,$58300,$71639,$71167,122.88,2693,29.37,791,674,1009,Upper,$57914,$58300,9.23,122.88,$71167,$71639,$56339,2693,29.37,710,911,1902,791,9,7,0,760,15
19850503,754510,536059,"GOLDEN BANK, NATIONAL ASSOCIATION",9315 BELLAIRE BLVD,HOUSTON,TX,77036,4332.01,Moderate,No,$72500,$42108,$40296,58.08,5468,86.63,4737,761,959,Moderate,$69373,$72500,28.91,58.08,$40296,$42108,$35078,5468,86.63,1211,1819,731,4737,0,1395,1398,1929,15
19740101,70587,518877,GREATER STATE BANK,3300 NORTH 10TH STREET,MCALLEN,TX,78501,0209.04,Upper,No,$40300,$53422,$49750,132.56,4224,77.68,3281,945,1438,Upper,$37529,$40300,23.15,132.56,$49750,$53422,$45033,4224,77.68,1124,1815,943,3281,0,166,0,3078,37
19841009,8361231,230759,INTERNATIONAL BANK OF COMMERCE,1600 FM 802,BROWNSVILLE,TX,78521,0126.13,Upper,No,$37900,$61318,$59770,161.79,4800,94.65,4543,1269,1651,Upper,$36941,$37900,14.21,161.79,$59770,$61318,$56103,4800,94.65,1227,1613,257,4543,0,265,46,4217,15
19660902,480328,1001152,INTERNATIONAL BANK OF COMMERCE,1200 SAN BERNARDO STREET,LAREDO,TX,78040,0019.00,Moderate,No,$42800,$26596,$26053,62.14,3185,92.68,2952,376,1068,Moderate,$41922,$42800,47.20,62.14,$26053,$26596,$16439,3185,92.68,720,1186,233,2952,0,0,2,2950,0
19840206,960449,382069,INTERNATIONAL BANK OF COMMERCE,908 NORTH US HIGHWAY 83,ZAPATA,TX,78076,9503.02,Middle,Yes,$54200,$44834,$43081,82.72,3754,90.57,3400,1123,2127,Middle,$52076,$54200,18.39,82.72,$43081,$44834,$38663,3754,90.57,1192,1544,354,3400,0,0,2,3398,0
19830124,2148636,842460,LONE STAR NATIONAL BANK,206 WEST FERGUSON,PHARR,TX,78577,0217.01,Upper,No,$40300,$48739,$45391,120.94,9459,93.35,8830,1812,3360,Upper,$37529,$40300,24.66,120.94,$45391,$48739,$36851,9459,93.35,2117,2933,629,8830,44,187,0,8599,0
20050404,79749,3296859,ONE WORLD BANK,2449 WALNUT HILL LANE,DALLAS,TX,752290819,0099.00,Moderate,No,$73400,$44546,$43185,60.69,2875,71.55,2057,65,265,Moderate,$71149,$73400,16.45,60.69,$43185,$44546,$45245,2875,71.55,677,1245,818,2057,0,430,356,1182,89
19850211,316861,956750,RIO BANK,1655 NORTH 23RD STREET,MCALLEN,TX,785016736,0207.25,Upper,No,$40300,$53510,$49833,132.78,4881,89.55,4371,806,1275,Upper,$37529,$40300,30.14,132.78,$49833,$53510,$45069,4881,89.55,1086,1321,510,4371,0,14,90,4245,22
19971103,359952,2625724,SOUTHWESTERN NATIONAL BANK,6901 CORPORATE DRIVE,HOUSTON,TX,77036,4332.01,Moderate,No,$72500,$42108,$40296,58.08,5468,86.63,4737,761,959,Moderate,$69373,$72500,28.91,58.08,$40296,$42108,$35078,5468,86.63,1211,1819,731,4737,0,1395,1398,1929,15
19871019,959444,1157415,STATE BANK OF TEXAS,11950 WEBB CHAPEL ROAD,DALLAS,TX,752347724,0096.05,Moderate,No,$73400,$49574,$48056,67.54,3637,78.61,2859,573,891,Moderate,$71149,$73400,15.23,67.54,$48056,$49574,$44201,3637,78.61,764,1277,778,2859,0,209,192,2451,7
19201126,227337,497954,TEXAS NATIONAL BANK,201 SOUTH TEXAS AVENUE,MERCEDES,TX,785703123,0230.00,Middle,No,$40300,$43931,$40913,109.01,4827,95.42,4606,927,1639,Middle,$37529,$40300,30.68,109.01,$40913,$43931,$32273,4827,95.42,1208,1658,221,4606,0,0,0,4544,62
20010501,224968,2942823,UNITED BANK OF EL PASO DEL NORTE,125 NORTH MESA HILLS DRIVE,EL PASO,TX,799124874,0011.10,Upper,No,$45300,$74854,$76065,165.24,5224,70.90,3704,1031,1306,Upper,$46033,$45300,19.98,165.24,$76065,$74854,$62938,5224,70.90,1315,1980,1520,3704,0,218,76,3347,63
19850801,99200,853251,UNITY NATIONAL BANK OF HOUSTON,2602 BLODGETT,HOUSTON,TX,770045316,3130.00,Moderate,No,$72500,$48169,$46094,66.44,2569,90.31,2320,424,1249,Moderate,$69373,$72500,18.76,66.44,$46094,$48169,$37074,2569,90.31,543,1246,249,2320,0,41,2095,159,25
19721028,571725,283867,"WALLIS STATE BANK, THE",6510 RAILROAD STREET,WALLIS,TX,77485,7601.00,Middle,No,$72500,$67309,$64412,92.84,2484,49.56,1231,730,1094,Middle,$69373,$72500,8.84,92.84,$64412,$67309,$51786,2484,49.56,736,986,1253,1231,0,0,358,725,148
